"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"總統府檔案（蔣經國時期）","總統府","1975-1988","官方檔案文書","國史館","TW-POSTWAR-011","https://www.drnh.gov.tw/","zh","文字","總統府典藏之蔣經國總統時期檔案，含十大建設決策、政治革新、解除戒嚴等重大政策文件","蔣經國;總統府;十大建設;解除戒嚴;民主化","戰後中期（1975–1988）","全臺灣","–","總統府檔案（蔣中正時期）","國史館","–","2026-07-30","UNCLEAR","部分檔案有限制","已收錄 metadata","臺灣轉型期之最高決策檔案"
"總統府檔案（李登輝時期）","總統府","1988-2000","官方檔案文書","國史館","TW-POSTWAR-012","https://www.drnh.gov.tw/","zh","文字","總統府典藏之李登輝總統時期檔案，含修憲、務實外交、本土化政策、兩岸關係等文件","李登輝;總統府;修憲;民主化;本土化;兩岸","戰後現代（1988–2000）","全臺灣","–","總統府檔案（蔣經國時期）","國史館","–","2026-07-30","UNCLEAR","部分檔案有限制","已收錄 metadata","民主化轉型時期之最高決策檔案"
"國家安全局檔案","國家安全局","1949-2000","官方檔案文書","國史館","TW-POSTWAR-013","https://www.drnh.gov.tw/","zh","文字","國家安全局典藏之國安相關檔案，含情治、對外情報、反共政策、兩岸情資等機密文件","國家安全;情報;情治;兩岸;反共","戰後時期（1949–2000）","全臺灣","–","–","國史館","–","2026-07-30","UNCLEAR","高度限制","已收錄 metadata","國安情治檔案（部分解密）"
"美麗島雜誌","美麗島雜誌社","1979","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-014","https://www.ntl.edu.tw/","zh","文字","美麗島雜誌為黨外運動之代表性刊物，創刊於1979年，發行四期即因美麗島事件被查禁，為臺灣民主運動之重要文獻","美麗島雜誌;黨外運動;民主化;民主運動","戰後中期（1979）","全臺灣","–","美麗島事件軍法審判檔案","美麗島雜誌社","–","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","黨外運動最具代表性之刊物"
"自由時代雜誌","自由時代雜誌社","1986-1989","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-015","https://www.ntl.edu.tw/","zh","文字","鄭南榕創辦之自由時代雜誌，為黨外運動後期與民主進步黨成立前後之重要政論刊物，主張言論自由與民主化","自由時代;鄭南榕;黨外運動;言論自由;民主化","戰後中期（1986–1989）","全臺灣","–","美麗島雜誌","自由時代雜誌社","–","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","言論自由運動之代表性刊物"
"中央日報","中國國民黨中央委員會","1949-2006","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-016","https://www.ntl.edu.tw/","zh","文字","中國國民黨機關報，1949年遷臺發行至2006年停刊，為威權時期最具影響力之官方報紙，記錄政府立場與政策宣傳","中央日報;國民黨;機關報;威權時期;新聞","戰後時期（1949–2006）","全臺灣","–","–","國立臺灣圖書館","中國國民黨中央委員會","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","威權時期最核心之官方報紙"
"聯合報知識庫","聯合報系","1951-2025","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-017","https://udndata.com/","zh","文字;圖檔","聯合報1951年創刊至今之完整新聞資料庫，為臺灣發行歷史最悠久之民營報紙，涵蓋戰後臺灣社會變遷之完整新聞記錄","聯合報;新聞;民營報紙;社會變遷;文化","戰後時期（1951–2025）","全臺灣","–","–","聯合報系","國立臺灣圖書館","2026-07-30","UNCLEAR","資料庫需訂閱","已收錄 metadata","臺灣最完整之民營報紙資料庫"
"自立晚報","自立晚報社","1947-2001","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-018","https://www.ntl.edu.tw/","zh","文字","自立晚報為臺灣最早之民營晚報，1947年創刊，以獨立批判立場著稱，1980年代黨外運動時期為民主派重要發聲管道","自立晚報;民營報紙;黨外運動;言論自由","戰後時期（1947–2001）","全臺灣","–","–","自立晚報社","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","黨外運動時期之獨立報紙"
"自由時報","自由時報社","1988-2025","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-019","https://www.ltn.com.tw/","zh","文字","自由時報1988年創刊（原《自由日報》），為解嚴後成立之主要報紙，以本土化立場著稱，現為臺灣發行量最大之日報之一","自由時報;解嚴;本土化;新聞;媒體","戰後現代（1988–2025）","全臺灣","–","–","自由時報社","國立臺灣圖書館","2026-07-30","UNCLEAR","線上公開","已收錄 metadata","解嚴後成立之代表性報紙"
"臺灣文藝雜誌","臺灣文藝雜誌社","1964-2025","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-020","https://www.ntl.edu.tw/","zh","文字","吳濁流創辦之臺灣文藝雜誌，為戰後臺灣本土文學運動之重要刊物，推動鄉土文學、臺灣意識與文化主體性論述","臺灣文藝;鄉土文學;本土文化;臺灣意識;文學","戰後時期（1964–2025）","全臺灣","–","–","臺灣文藝雜誌社","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","戰後本土文學最具代表性之刊物"
"重修臺灣省通志","臺灣省文獻委員會","1969-2005","方志與輿圖","國史館臺灣文獻館","TW-POSTWAR-021","https://www.th.gov.tw/","zh","文字","臺灣省文獻委員會編纂之《重修臺灣省通志》，含土地志、政治志、經濟志、社會志、教育志等，為戰後臺灣最完整之省級方志","臺灣通志;方志;省文獻會;地方志;史料彙編","戰後時期（1945–2000）","全臺灣","–","–","國史館臺灣文獻館","–","2026-07-30","UNCLEAR","公開出版物","已收錄 metadata","戰後臺灣最大規模之方志編纂"
"中華民國年鑑","行政院新聞局","1950-2025","方志與輿圖","國立臺灣圖書館","TW-POSTWAR-022","https://www.ntl.edu.tw/","zh","文字;圖檔","中華民國政府官方編纂之綜合年鑑，逐年記錄政治、外交、經濟、社會、文化、教育等各領域之年度發展概況","年鑑;官方記錄;統計;綜合;年度","戰後時期（1950–2025）","全臺灣","–","–","行政院新聞局","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","官方年度總記錄"
"中華民國統計年鑑","行政院主計總處","1970-2025","統計與調查資料","國立臺灣圖書館","TW-POSTWAR-023","https://www.stat.gov.tw/","zh","文字","行政院主計總處編纂之綜合統計年刊，含人口、經濟、教育、醫療、社會福利、環境等各領域之時間序列統計數據","統計;人口;經濟;社會;官方統計","戰後時期（1970–2025）","全臺灣","–","中華民國年鑑","行政院主計總處","國立臺灣圖書館","2026-07-30","PUBLIC_DOMAIN","政府公開資料","已收錄 metadata","臺灣最權威之綜合統計出版物"
"戶口及住宅普查報告","行政院主計總處","1956-2020","統計與調查資料","國立臺灣圖書館","TW-POSTWAR-024","https://www.stat.gov.tw/","zh","文字","行政院主計總處每十年實施之全國戶口普查報告，為臺灣最完整之人口統計資料，含人口結構、教育程度、行業、家庭組成等","戶口普查;人口統計;人口結構;社會調查","戰後時期（1956–2020）","全臺灣","–","中華民國統計年鑑","行政院主計總處","國立臺灣圖書館","2026-07-30","PUBLIC_DOMAIN","政府公開資料","已收錄 metadata","十年一次之全國戶口普查完整記錄"
"臺灣人力資源調查報告","行政院主計總處","1978-2025","統計與調查資料","國立臺灣圖書館","TW-POSTWAR-025","https://www.stat.gov.tw/","zh","文字","行政院主計總處每月實施之人力資源調查，為臺灣勞動市場與就業統計之最主要來源","人力資源;就業;勞動市場;薪資;失業率","戰後時期（1978–2025）","全臺灣","–","中華民國統計年鑑","行政院主計總處","國立臺灣圖書館","2026-07-30","PUBLIC_DOMAIN","政府公開資料","已收錄 metadata","臺灣勞動市場連續性統計資料"
"美援臺灣檔案（1951-1965）","美國國際開發署（USAID）","1951-1965","官方檔案文書","中研院近史所檔案館","TW-POSTWAR-026","https://archives.mh.sinica.edu.tw/","en;zh","文字","美援運用委員會與美國國際開發署之檔案，為戰後臺灣經濟重建與發展之關鍵史料，涵蓋基礎建設、農業改革、工業發展、教育等美援計畫","美援;經濟發展;基礎建設;農業改革;工業化","戰後中期（1951–1965）","全臺灣","–","–","中研院近史所檔案館","–","2026-07-30","UNCLEAR","學術使用須授權","已收錄 metadata","戰後臺灣經濟發展之關鍵外部援助檔案"
"加工出口區檔案","經濟部加工出口區管理處","1965-2025","官方檔案文書","國史館","TW-POSTWAR-027","https://www.drnh.gov.tw/","zh","文字","經濟部加工出口區管理處之歷史檔案，含高雄、楠梓、臺中加工出口區之設立、招商、營運、管理、轉型等文件","加工出口區;外銷;經濟發展;工業化;外資","戰後中期（1965–2025）","高雄;臺中;楠梓","–","美援臺灣檔案（1951-1965）","國史館","經濟部","2026-07-30","UNCLEAR","部分公開","已收錄 metadata","臺灣出口導向工業化之核心檔案"
"十大建設檔案","行政院經濟建設委員會","1973-1979","官方檔案文書","國史館","TW-POSTWAR-028","https://www.drnh.gov.tw/","zh","文字","十大建設（中山高、鐵路電氣化、中正機場、臺中港、蘇澳港、大煉鋼廠、大造船廠、石化工業、核電廠）之規劃、決策與執行檔案","十大建設;基礎建設;經濟發展;蔣經國;公共工程","戰後中期（1973–1979）","全臺灣","–","–","國史館","行政院經濟建設委員會","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","臺灣基礎建設現代化之關鍵檔案"
"新竹科學園區史料","國家科學及技術委員會","1980-2025","官方檔案文書","國立臺灣圖書館","TW-POSTWAR-029","https://www.ntl.edu.tw/","zh;en","文字","國家科學委員會規劃設立之新竹科學園區相關史料，含園區設立、招商、科技政策、產業發展、半導體產業群聚等文件","科學園區;半導體;科技政策;竹科;產業升級","戰後現代（1980–2025）","新竹","–","加工出口區檔案","國家科學及技術委員會","國立臺灣圖書館","2026-07-30","UNCLEAR","部分公開","已收錄 metadata","臺灣高科技產業發展之核心檔案"
"臺灣積體電路製造公司（TSMC）史料","臺灣積體電路製造公司","1987-2025","產業與經濟實錄","國立臺灣圖書館","TW-POSTWAR-030","https://www.ntl.edu.tw/","zh;en","文字;圖檔","全球最大半導體代工廠 TSMC 之發展史料，含創立過程、技術發展、擴廠紀實、產業影響等文件與報導","TSMC;半導體;積體電路;科技產業;全球經濟","戰後現代（1987–2025）","新竹;臺南","–","新竹科學園區史料","–","國立臺灣圖書館","2026-07-30","UNCLEAR","企業公開資料","已收錄 metadata","臺灣半導體產業代表性企業史料"
"中華民國經濟年鑑","經濟日報社","1977-2025","產業與經濟實錄","國立臺灣圖書館","TW-POSTWAR-031","https://www.ntl.edu.tw/","zh","文字","經濟日報社出版之逐年經濟總覽，含產業分析、貿易統計、經濟指標、企業排名、政策回顧等","經濟年鑑;產業;貿易;經濟指標;企業","戰後中期（1977–2025）","全臺灣","–","中華民國統計年鑑","經濟日報社","國立臺灣圖書館","2026-07-30","UNCLEAR","公開出版物","已收錄 metadata","臺灣產業經濟發展逐年記錄"
"全民健康保險檔案","衛生福利部中央健康保險署","1995-2025","官方檔案文書","國立臺灣圖書館","TW-POSTWAR-032","https://www.nhi.gov.tw/","zh","文字","全民健康保險1995年開辦以來之相關檔案，含規劃、立法、實施、改革、財務、醫療品質等文件","全民健保;醫療;社會保險;衛生福利;健康","戰後現代（1995–2025）","全臺灣","–","–","衛生福利部中央健康保險署","國立臺灣圖書館","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","臺灣社會醫療保險之完整記錄"
"九年國民教育史料","教育部","1968-2025","教育與醫療史","國立臺灣圖書館","TW-POSTWAR-033","https://www.ntl.edu.tw/","zh","文字","九年國民教育1968年實施以來之相關史料，含政策規劃、課程標準、教科書編審、師資培育、教育改革等文件","九年國教;國民教育;教育改革;教育政策;義務教育","戰後中期（1968–2025）","全臺灣","–","–","教育部","國立臺灣圖書館","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","臺灣國民教育制度之核心史料"
"大學聯考與升學制度檔案","教育部","1954-2025","教育與醫療史","國立臺灣圖書館","TW-POSTWAR-034","https://www.ntl.edu.tw/","zh","文字","大學聯考制度（1954-2001）及後續多元入學方案之相關史料，含聯考試題、招生制度變革、教育機會等文件","大學聯考;升學制度;教育機會;招生;考試","戰後時期（1954–2025）","全臺灣","–","九年國民教育史料","教育部","國立臺灣圖書館","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","臺灣高等教育入學制度變遷記錄"
"國立臺灣大學校史","國立臺灣大學","1945-2025","人物傳記與家族史料","國立臺灣大學","TW-POSTWAR-035","https://www.ntu.edu.tw/","zh","文字;圖檔","國立臺灣大學（前身臺北帝國大學）戰後之校史記錄，含接收改制、歷任校長、學術發展、學運參與等","臺灣大學;校史;高等教育;學術;學運","戰後時期（1945–2025）","臺北","–","–","國立臺灣大學","–","2026-07-30","UNCLEAR","公開出版物","已收錄 metadata","臺灣最高學府之戰後發展史"
"白色恐怖政治案件口述訪談","國家人權博物館","2000-2025","口述歷史","國家人權博物館","TW-POSTWAR-036","https://www.nhrm.gov.tw/","zh","文字;影音","國家人權博物館執行之白色恐怖時期政治受難者口述訪談計畫，收錄數百位受難者之親身經歷、獄中生活、轉型正義等口述記錄","白色恐怖;政治受難者;口述歷史;轉型正義;人權","戰後中期（1949–1992）","全臺灣","–","警備總部檔案","國家人權博物館","–","2026-07-30","UNCLEAR","公開展示","已收錄 metadata","白色恐怖受難者最重要之口述史料"
"戰後臺灣政治案件口述歷史","中央研究院近代史研究所","1995-2025","口述歷史","中研院近史所","TW-POSTWAR-037","https://www.mh.sinica.edu.tw/","zh","文字","中研院近史所執行之戰後臺灣政治案件口述訪談計畫，收錄美麗島事件、五一九事件、林宅血案等相關人物訪談","政治案件;口述歷史;美麗島;黨外;人權","戰後中期（1970–1990）","全臺灣","–","白色恐怖政治案件口述訪談","中研院近史所","–","2026-07-30","UNCLEAR","學術使用須授權","已收錄 metadata","戒嚴時期政治案件之系統性口述記錄"
"臺灣原住民口述歷史","中央研究院臺灣史研究所","2000-2025","口述歷史","中研院臺史所","TW-POSTWAR-038","https://www.ith.sinica.edu.tw/","zh","文字","中研院臺史所執行之原住民口述歷史計畫，收錄各族群之部落歷史、遷徙傳說、傳統知識、現代適應等口述記錄","原住民;口述歷史;部落;族群;傳統知識","戰後時期（1945–2025）","全臺灣","–","–","中研院臺史所","–","2026-07-30","UNCLEAR","學術使用須授權","已收錄 metadata","原住民觀點之口述歷史記錄"
"臺灣老兵口述史","國史館","2000-2025","口述歷史","國史館","TW-POSTWAR-039","https://www.drnh.gov.tw/","zh","文字","國史館執行之外省老兵口述訪談計畫，收錄隨國民政府遷臺之軍人與眷屬之生命故事、遷徙經驗、落地生根等口述記錄","老兵;外省人;遷臺;遷徙;眷村","戰後中期（1949–1990）","全臺灣","–","–","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","大遷徙時代之第一手口述記錄"
"戰後臺灣產業人物口述","中央研究院近代史研究所","2000-2025","口述歷史","中研院近史所","TW-POSTWAR-040","https://www.mh.sinica.edu.tw/","zh","文字","中研院近史所執行之臺灣產業人物口述訪談計畫，收錄王永慶、張忠謀、施振榮等代表性企業家之經營歷程與產業發展見證","產業人物;口述歷史;企業家;經濟發展;經營","戰後時期（1960–2025）","全臺灣","–","–","中研院近史所","–","2026-07-30","UNCLEAR","學術使用須授權","已收錄 metadata","臺灣經濟奇蹟之人物視角記錄"
"國家文化資產保存檔案","文化部文化資產局","1982-2025","官方檔案文書","文化部文化資產局","TW-POSTWAR-041","https://www.boch.gov.tw/","zh","文字;圖檔","文化資產保存法（1982年制定）實施以來之古蹟、歷史建築、聚落、文化景觀等指定與保存相關檔案","文化資產;古蹟保存;文化政策;文資法;歷史建築","戰後時期（1982–2025）","全臺灣","–","–","文化部文化資產局","–","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","臺灣文化資產保存制度之完整記錄"
"國家電影及視聽文化中心影片檔案","國家電影及視聽文化中心","1945-2025","照片與影像","國家圖書館","TW-POSTWAR-042","https://www.tfai.org.tw/","zh","影音;圖檔","國家電影及視聽文化中心典藏之戰後臺灣新聞片、紀錄片、電影、電視節目等視聽檔案，為戰後臺灣社會變遷之影像記錄","新聞片;紀錄片;電影;電視;影像記錄","戰後時期（1945–2025）","全臺灣","–","–","國家電影及視聽文化中心","國家圖書館","2026-07-30","UNCLEAR","部分需授權","已收錄 metadata","戰後臺灣最重要之視聽檔案典藏"
"新聞攝影檔案（1945-2000）","國家圖書館","1945-2000","照片與影像","國家圖書館","TW-POSTWAR-043","https://www.ncl.edu.tw/","zh","圖檔","國家圖書館典藏之戰後臺灣新聞攝影照片檔案，涵蓋政治、社會、經濟、文化各領域之關鍵歷史瞬間","新聞攝影;歷史照片;影像;社會變遷;政治","戰後時期（1945–2000）","全臺灣","–","–","國家圖書館","–","2026-07-30","UNCLEAR","公開查閱","已收錄 metadata","戰後臺灣歷史影像之系統性收藏"
"臺灣戰後寫真帖","國家圖書館","1945-1990","照片與影像","國家圖書館","TW-POSTWAR-044","https://www.ncl.edu.tw/","zh","圖檔","國家圖書館典藏之戰後照片寫真輯，含城市景觀、人民生活、節慶活動、公共建設等各類寫真記錄","寫真帖;照片;城市景觀;人民生活;歷史影像","戰後時期（1945–1990）","全臺灣","–","–","國家圖書館","–","2026-07-30","UNCLEAR","公開查閱","已收錄 metadata","戰後臺灣社會影像記錄"
"中華民國外交史料","外交部","1949-2025","官方檔案文書","國史館","TW-POSTWAR-045","https://www.drnh.gov.tw/","zh;en","文字","外交部典藏之戰後外交檔案，含中美關係、臺美斷交、聯合國代表權、務實外交、兩岸關係等重大外交事件文件","外交;中美關係;聯合國;臺美;兩岸;國際關係","戰後時期（1949–2025）","全臺灣","–","總統府檔案（李登輝時期）","國史館","外交部","2026-07-30","UNCLEAR","部分解密","已收錄 metadata","戰後臺灣外交關係之核心檔案"
"戰後臺灣考古發掘報告","國立臺灣大學人類學系","1950-2025","考古與物質文化","國立臺灣大學人類學系","TW-POSTWAR-046","https://anthro.ntu.edu.tw/","zh","文字;圖檔","戰後臺灣考古學界執行之各時期遺址發掘報告，含長濱文化、圓山文化、十三行文化等延續性發掘研究","考古;遺址;發掘;文化層;史前","戰後時期（1950–2025）","全臺灣","–","–","國立臺灣大學人類學系","–","2026-07-30","UNCLEAR","學術公開","已收錄 metadata","戰後臺灣考古學之系統性記錄"
"戒嚴時期軍法審判檔案","國防部軍法局","1949-1987","官方檔案文書","國史館","TW-POSTWAR-047","https://www.drnh.gov.tw/","zh","文字","戒嚴時期軍法審判相關檔案，含叛亂罪、匪諜罪、違反國家總動員法等案件之起訴書、判決書等","軍法審判;戒嚴;叛亂;匪諜;白色恐怖","戰後中期（1949–1987）","全臺灣","–","警備總部檔案;白色恐怖政治案件口述訪談","國史館","–","2026-07-30","UNCLEAR","部分解密","已收錄 metadata","戒嚴時期軍法審判之系統性檔案"
"臺灣民主化運動檔案（1986-2000）","國史館","1986-2000","官方檔案文書","國史館","TW-POSTWAR-048","https://www.drnh.gov.tw/","zh","文字","國史館典藏之臺灣民主化進程相關檔案，含民主進步黨成立、解除戒嚴、國會全面改選、總統直選、政黨輪替等重大事件文件","民主化;民主運動;政黨政治;選舉;轉型正義","戰後現代（1986–2000）","全臺灣","–","美麗島事件軍法審判檔案;總統府檔案（李登輝時期）","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","臺灣民主轉型之系統性檔案"
"戰後臺灣社會變遷調查","中央研究院社會學研究所","1985-2025","統計與調查資料","中央研究院","TW-POSTWAR-049","https://www.sinica.edu.tw/","zh","文字","中央研究院執行之臺灣社會變遷基本調查長期追蹤計畫，每五年一期，涵蓋家庭、教育、經濟、宗教、政治態度等社會價值觀變遷","社會變遷;調查;社會學;價值觀;長期追蹤","戰後現代（1985–2025）","全臺灣","–","中華民國統計年鑑","中央研究院社會學研究所","中央研究院","2026-07-30","UNCLEAR","學術公開","已收錄 metadata","臺灣社會變遷之長期趨勢調查"
"戰後臺灣環境變遷記錄","中央研究院環境變遷研究中心","1950-2025","自然與環境背景","中央研究院","TW-POSTWAR-050","https://www.rcec.sinica.edu.tw/","zh;en","文字","戰後臺灣環境變遷相關研究資料，含工業污染、都市化、海岸變遷、水資源、空氣品質、氣候變遷等長期監測記錄","環境變遷;污染;都市化;氣候;生態","戰後時期（1950–2025）","全臺灣","–","–","中央研究院環境變遷研究中心","中央研究院","2026-07-30","UNCLEAR","學術公開","已收錄 metadata","戰後臺灣環境變遷之科學記錄"
"九二一大地震檔案","行政院災害防救委員會","1999-2025","官方檔案文書","國史館","TW-POSTWAR-051","https://www.drnh.gov.tw/","zh","文字;圖檔","921大地震（1999年9月21日）之官方檔案，含災情報告、救災記錄、災後重建、防災體系改革等相關文件","921地震;災害;救災;重建;防災","戰後現代（1999–2000）","中臺灣（南投;臺中）","–","–","國史館","行政院災害防救委員會","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","臺灣戰後最嚴重天然災害之官方記錄"
"臺灣國家公園設置史料","內政部營建署","1984-2025","官方檔案文書","國立臺灣圖書館","TW-POSTWAR-052","https://www.ntl.edu.tw/","zh","文字;圖檔","臺灣國家公園體系（墾丁、玉山、陽明山、太魯閣、雪霸、金門、東沙環礁、臺江、澎湖南方四島）之設立與管理相關檔案","國家公園;自然保育;生態;觀光;國土規劃","戰後現代（1984–2025）","全臺灣","–","–","內政部營建署","國立臺灣圖書館","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","臺灣自然保育與國土規劃之檔案"
"中華民國憲法與修憲檔案","國民大會","1947-2005","官方檔案文書","國史館","TW-POSTWAR-053","https://www.drnh.gov.tw/","zh","文字","中華民國憲法在臺灣之實施與歷次修憲檔案，含動員戡亂時期臨時條款、增修條文、憲法法庭解釋等關鍵文件","憲法;修憲;國民大會;憲政;民主化","戰後時期（1947–2005）","全臺灣","–","臺灣民主化運動檔案（1986-2000）","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","臺灣憲政體制變遷之完整記錄"
"兩岸關係檔案（1991-2025）","行政院大陸委員會","1991-2025","官方檔案文書","國史館","TW-POSTWAR-054","https://www.drnh.gov.tw/","zh;en","文字","行政院大陸委員會典藏之兩岸關係檔案，含海基會與海協會協商、辜汪會談、兩岸經貿、直航、小三通等政策文件","兩岸;大陸委員會;辜汪會談;直航;經貿","戰後現代（1991–2025）","全臺灣;中國大陸","–","中華民國外交史料","國史館","行政院大陸委員會","2026-07-30","UNCLEAR","部分解密","已收錄 metadata","兩岸關係制度化之核心檔案"
